algo,case,run_exit,sla0,sla1,energy_kwh,runtime_s,pass
ConservativeSpread,match.md,0,0,0,0.0506302,21.24,YES
ConservativeSpread,day.md,0,0,0,64.1455,86400.7,YES
ConservativeSpread,gentler_hour.md,0,0,0,7.25969,3603.48,YES
ConservativeSpread,smooth.md,0,0,0,0.0121098,16.32,YES
ConsolidationSleep,match.md,0,0,0,,,YES
ConsolidationSleep,day.md,0,0,0,,,YES
ConsolidationSleep,gentler_hour.md,0,0,0,,,YES
ConsolidationSleep,smooth.md,0,0,0,,,YES
ThresholdSLA,match.md,0,0,0,,,YES
ThresholdSLA,day.md,0,0,0,,,YES
ThresholdSLA,gentler_hour.md,0,0,0,,,YES
ThresholdSLA,smooth.md,0,0,0,,,YES
Greedy,match.md,0,0,0,0.0506302,21.24,YES
Greedy,day.md,0,0,0,64.1455,86400.7,YES
Greedy,gentler_hour.md,0,0,0,7.25969,3603.48,YES
Greedy,smooth.md,0,0,0,0.0121098,16.32,YES
AdaptiveHybrid,match.md,0,0,0,,,YES
AdaptiveHybrid,day.md,0,0,0,,,YES
AdaptiveHybrid,gentler_hour.md,0,0,0,,,YES
AdaptiveHybrid,smooth.md,0,0,0,,,YES
